,WORD,60-70,70-80,80-90,90-00
0,sane_ADJ,-0.42999999999999994,-0.98,0.99,-0.42000000000000004
1,large_ADJ,-0.06,-0.060000000000000005,0.13999999999999999,0.25
2,available_ADJ,-0.14999999999999997,-0.21000000000000002,1.1,-0.79
3,inevitable_ADJ,-0.5499999999999999,-0.6300000000000001,-0.2999999999999998,0.33999999999999986
4,southern_ADJ,-0.28,-0.13000000000000003,-0.02999999999999997,0.26
5,wider_ADJ,-0.5700000000000001,0.24000000000000002,-0.06999999999999999,0.35
6,possible_ADJ,0.31999999999999995,-0.15999999999999998,0.08000000000000002,-0.02999999999999997
7,temporary_ADJ,-0.8200000000000001,0.98,0.8800000000000001,-1.6300000000000001
8,eventual_ADJ,-0.31,0.27,-0.32999999999999996,0.14999999999999997
9,constitutional_ADJ,0.05,-0.19,0.13,-0.15
10,monetary_ADJ,0.08,-0.27,0.42,-0.24
11,hostile_ADJ,0.19999999999999996,0.0,0.13,-1.3900000000000001
12,childish_ADJ,-1.12,-0.9000000000000001,1.25,0.36
13,precise_ADJ,-1.04,0.83,0.32000000000000006,-1.01
14,human_ADJ,0.8400000000000001,0.58,-0.11999999999999997,-1.39
15,greek_ADJ,0.21000000000000002,-0.47000000000000003,0.0,0.22000000000000003
16,circular_ADJ,0.010000000000000009,0.08000000000000002,-0.08000000000000002,-0.21999999999999997
17,black_ADJ,-1.52,1.43,0.010000000000000009,0.15000000000000002
18,operational_ADJ,0.21000000000000002,-0.07,0.12,-0.64
19,unknown_ADJ,-0.04999999999999993,0.33999999999999997,-0.42999999999999994,0.27999999999999997
20,apparent_ADJ,-0.21000000000000002,-0.07,0.1,-0.21000000000000002
21,fabulous_ADJ,-1.5,1.98,-0.010000000000000009,0.22999999999999998
22,prone_ADJ,-0.7100000000000001,-1.32,1.34,-0.5599999999999999
23,skilled_ADJ,0.2,0.2899999999999999,-0.07999999999999996,-0.20999999999999996
24,ready_ADJ,-0.33000000000000007,0.8500000000000001,0.32999999999999985,-0.16999999999999993
25,dramatic_ADJ,-0.16999999999999998,0.13,-0.19,-0.51
26,ancient_ADJ,0.39,-0.19,-0.37,0.64
27,geographic_ADJ,-0.24000000000000002,0.0,0.33,-0.27
28,adequate_ADJ,-1.1099999999999999,0.020000000000000018,1.0899999999999999,-0.96
29,meaningless_ADJ,-0.6900000000000002,1.12,-0.6100000000000001,0.81
30,scholarly_ADJ,-1.0099999999999998,0.21999999999999997,-0.44999999999999996,0.01999999999999999
31,local_ADJ,-0.020000000000000004,-0.18,0.34,-0.31
32,pure_ADJ,1.67,0.22999999999999998,0.07999999999999985,-1.81
33,abstract_ADJ,-0.12000000000000001,0.19,0.33,-0.54
34,theoretical_ADJ,-0.06,0.04000000000000001,0.09,-0.15000000000000002
35,explosive_ADJ,0.39000000000000007,-0.020000000000000018,0.3,-0.47
36,rainy_ADJ,0.36,-0.88,1.62,-1.62
37,interstate_ADJ,-0.15999999999999998,0.12999999999999998,0.010000000000000009,-0.19000000000000003
38,ridiculous_ADJ,0.3599999999999999,1.77,-1.65,0.7
39,amused_ADJ,1.04,-0.79,0.19,-0.4
40,brave_ADJ,0.21000000000000008,0.19000000000000006,-1.7600000000000002,1.0
41,wild_ADJ,-0.46,-0.19,0.68,-0.6200000000000001
42,frantic_ADJ,-0.43999999999999995,0.41999999999999993,0.41000000000000003,-0.83
43,mental_ADJ,0.010000000000000009,-0.27,0.5800000000000001,-0.2
44,adverse_ADJ,-0.8600000000000001,1.53,-0.61,-0.3600000000000001
45,stronger_ADJ,-0.44000000000000006,-0.11999999999999997,0.49,0.24
46,postal_ADJ,0.45,-0.5,-1.26,1.28
47,maximum_ADJ,-0.17,0.33999999999999997,0.13,-0.26
48,revolutionary_ADJ,-0.14,-0.08,0.039999999999999994,-0.41000000000000003
49,squat_ADJ,0.27,-0.020000000000000018,-0.43,0.43
50,lone_ADJ,-0.030000000000000027,0.45,-0.14,-0.06999999999999999
51,uncertain_ADJ,-0.7699999999999999,0.95,0.23999999999999994,-0.39999999999999997
52,municipal_ADJ,-0.02,-0.04,0.11,-0.25
53,mortal_ADJ,-0.37,0.040000000000000036,-0.20999999999999996,-1.0500000000000003
54,remote_ADJ,-0.26,-0.27,-0.04999999999999999,0.26
55,safe_ADJ,-0.1200000000000001,-0.08999999999999986,-0.33000000000000007,-0.07000000000000006
56,heroic_ADJ,0.8400000000000001,-0.54,-0.39999999999999997,-0.22999999999999998
57,nuclear_ADJ,-0.14,-0.04000000000000001,0.03,-0.03999999999999998
58,native_ADJ,-0.27,-0.020000000000000018,0.26,-0.01999999999999999
59,mild_ADJ,-0.1100000000000001,-0.71,0.41999999999999993,-0.17999999999999994
60,psychiatric_ADJ,0.36,0.09000000000000002,-0.10000000000000003,0.28
61,conventional_ADJ,-0.010000000000000002,0.0,0.09,-0.04
62,distant_ADJ,0.16,-0.47000000000000003,-1.02,0.89
63,cunning_ADJ,-0.58,-0.4800000000000001,-0.22999999999999998,0.25
64,peaceful_ADJ,-0.10000000000000009,-0.08999999999999986,0.45999999999999996,-0.21999999999999975
65,odd_ADJ,0.3999999999999999,1.74,-2.23,0.8700000000000001
66,weary_ADJ,0.42999999999999994,0.07000000000000006,0.9400000000000001,-1.1600000000000001
67,fresh_ADJ,-0.6100000000000001,0.29000000000000004,-1.0,0.19999999999999996
68,ceremonial_ADJ,0.02999999999999997,-0.07999999999999996,-0.31,-0.63
69,external_ADJ,-0.14,0.27,0.43000000000000005,-0.48
70,unemployed_ADJ,-0.050000000000000044,-0.17999999999999994,-0.050000000000000044,0.3799999999999999
71,roman_ADJ,0.51,-0.31,-0.18,0.4
72,gradual_ADJ,-0.24,0.33999999999999997,-0.8,-0.13999999999999996
73,urgent_ADJ,0.42000000000000004,-0.4,0.05000000000000002,-0.43
74,meager_ADJ,1.12,-0.74,1.07,-0.77
75,methodist_ADJ,-0.020000000000000004,-0.51,0.53,1.5799999999999998
76,abrupt_ADJ,0.41000000000000003,-0.21,-0.44999999999999996,-0.41
77,dim_ADJ,-0.26,0.29000000000000004,0.09,-0.39
78,adolescent_ADJ,-0.51,0.39999999999999997,-0.16999999999999998,0.64
79,coastal_ADJ,-0.45999999999999996,-0.010000000000000009,0.39,-0.09000000000000001
80,confident_ADJ,-0.96,-0.63,1.08,-0.77
81,basic_ADJ,-0.15999999999999998,0.03,1.14,-1.19
82,strict_ADJ,-0.78,0.56,-0.1,-0.21000000000000002
83,explicit_ADJ,0.01999999999999999,0.04999999999999999,-0.27,-0.27
84,fearful_ADJ,0.8699999999999999,0.039999999999999813,1.3,-1.44
85,hind_ADJ,-1.66,1.38,0.35,-0.16
86,fertile_ADJ,0.9099999999999999,-0.82,0.68,-0.88
87,immense_ADJ,-0.16,0.31000000000000005,-0.31000000000000005,0.2
88,capable_ADJ,-0.24,0.41000000000000003,0.20999999999999985,-0.94
89,unlikely_ADJ,0.15,0.30000000000000004,-0.14,0.95
