ID,WORD,BASE_YEAR,OLD_CONTEXTS,NEW_CONTEXTS
0,мировой_ADJ,2000,"[['что', 'такой', 'глобализация', 'объединение', 'промышленность', 'мировой', 'финансы'], ['переставать', 'даже', 'понимать', ',что2', 'происходить', 'на', 'передовой', 'рубеж', 'мировой', 'наука'], ['это', 'мировой', 'уровень'], ['если', 'упускать', 'нынешний', 'шанс', 'то', 'мочь', 'оказываться', 'чрезвычайно', 'трудный', 'положение', 'особенно', 'когда', 'мировой', 'цена', 'на', 'нефть', 'снижаться', 'основной', 'фонд', 'начинать', 'стремительно', 'выходить', 'из', 'строй'], ['это', 'становиться', 'известный', 'на', 'церемония', 'нью-йорк', 'где', 'проходить', 'финальный', 'часть', 'ежегодный', 'конкурс', 'который', 'проводить', 'газета', 'файненшл::times::energy', 'влиятельный', 'информационный', 'издание', 'писать', 'проблема', 'мировой', 'энергетика']]","[['чемпионка', 'мир', 'бег', 'на', 'три', 'километр', 'зал', 'победительница', 'летний', 'мировой', 'первенство', 'на', '5-километровка', 'обладательница', 'приз', 'золотой', 'лига', 'конечно', 'приглашать', 'монте-карло'], ['помнить', 'на', 'московский', 'автосалон', 'швед', 'устраивать', 'мировой', 'премьера', 'вольво', 's80', 'на', 'другой', 'московский', 'японец', 'впервые', 'снимать', 'чехол', 'тойота::ярис', 'весь', 'наш', 'пресса', 'ужасно', 'гордиться', 'такой', 'честь', 'для', 'москва', 'ну', 'как', 'же', 'мы', 'мировой', 'премьер'], ['учитывать', 'диктат', 'сша', 'мировой', 'политика', 'данный', 'документ', 'не', 'столько', 'прогнозировать', 'сколько', 'программировать', 'развитие', 'ситуация'], ['второй', 'причина', 'неправильный', 'политика', 'фиде', 'сожаление', 'международный', 'федерация', 'дискредитировать', 'титул', 'чемпион', 'мир', 'предлагать', 'система', 'нокаут', 'мировой', 'чемпионат', 'вводить', 'всюду', 'быстрый', 'шахматы', 'менять', 'регламент', 'время'], ['великий', 'американский', 'кинорежиссер', 'стенли::кубрик', 'как-то', 'выводить', 'формула', 'мировой', 'политика', 'справедливость', 'который', 'долго', 'отказываться', 'верить']]"
1,экономический_ADJ,2012,"[['экономический', 'советник', 'группа', 'союз', 'ключевой', 'консультант', 'премьер', 'ссср::павлов', 'один', 'из', 'соавтор', 'павловский', 'экономический', 'программа', '1991', 'год', 'быть', 'егор::тимурович::гайдар'], ['новый', 'волна', 'экономический', 'потрясение', 'по', 'мнение', 'большинство', 'опрашивать', 'приводить', 'рост', 'ценник', 'снижение', 'уровень', 'жизнь', 'но', 'не', 'становиться', 'причина', 'массовый', 'увольнение', 'сокращение', 'зарплата'], ['какой', 'вы', 'видеть', 'судьба', 'пакистанский', 'транзит', 'для', 'транспортировка', 'груз', 'нато', 'на', 'исламабад', 'должен', 'быть', 'накладывать', 'экономический', 'санкция', 'потому', 'что', 'основной', 'терроризм', 'исходить', 'оттуда'], ['преподаватель', 'российский', 'государственный', 'торгово-экономический', 'университет', 'ргтэу', 'который', 'минобрнауки::рф', 'решать', 'объединять', 'российский', 'экономический', 'университет', 'имя', 'плеханов', 'готовый', 'проводить', 'тематический', 'мастер', 'класс', 'во', 'время', 'ночной', 'акция', 'протест', 'вуз', 'ночевать', 'вместе', 'студент', 'на', 'спортивный', 'мат', 'сообщать', 'понедельник', 'риа::новость', 'председатель', 'студенческий', 'совет', 'ргтэу::альберт::зарипов'], ['опыт::мордовия', 'являть', 'мы', 'замечательный', 'пример', 'то', 'как', 'межнациональный', 'согласие', 'мочь', 'содействовать', 'мобилизация', 'интеллектуальный', 'экономический', 'политический', 'потенциал', 'человек', 'подчеркивать', 'патриарх', 'кирилл']]","[['поправка', 'вносить', 'май', 'член', 'комитет', 'гд', 'по', 'экономический', 'политика', 'инновационный', 'развитие', 'предпринимательство', 'виктор', 'звагельский'], ['за', 'общий', 'концепция', 'центр', 'за', 'развитие', 'регион', 'местный', 'власть', 'пояснять', 'комитет', 'госдума', 'по', 'экономический', 'политика'], ['причина', 'то', 'что', 'доверие', 'фрс', 'как', 'институт', 'ответственный', 'за', 'экономический', 'рост', 'не', 'пострадать', 'ни', 'от', 'бесконечный', 'препирательство', 'республиканец', 'демократ', 'конгресс', 'ни', 'от', 'неверно', 'подать', 'лето', 'сигнал', 'сворачивание', 'программа', 'количественный', 'смягчение'], ['однако', 'выступать', 'среда', 'после', 'заседание', 'комитет', 'по', 'операция', 'на', 'открытый', 'рынок', 'бен', 'бернанка', 'заявлять', 'что', 'фрс', 'мочь', 'изменять', 'темп', 'скупка', 'облигация', 'по', 'мера', 'приближение', 'она', 'экономический', 'цель', 'или', 'если', 'оценка', 'она', 'эффективность', 'издержка', 'программа', 'изменяться'], ['отказываться', 'от', 'твердолобости', 'политика', 'по', 'отношение', 'приштина', 'белград', 'по', 'мнение', 'эксперт', 'заставлять', 'собственный', 'тяжелый', 'экономический', 'положение']]"
2,интересный_ADJ,2013,"[['главное', 'чтобы', 'теплый', 'денек', '1973', 'год', 'инженер', 'изобретатель', 'компания', 'моторола::мартин::купер', 'звонить', 'тротуар', 'шестой', 'авеню', 'свой', 'конкурент', 'инженер', '-изобретатель', 'из', 'другой', 'компания', 'название', 'который', 'никто', 'уж', 'не', 'интересный', 'поскольку', 'другой', 'компания', 'проигрывать'], ['думать', 'что', 'очень', 'интересный', 'проект', 'получаться'], ['создавать', 'этот', 'образ', 'ход', 'многочасовой', 'репетиция', 'очень', 'тяжелый', 'но', 'очень', 'интересный'], ['спасибо', 'за', 'интересный', 'разговор'], ['быть', 'интересный', 'он', 'общаться', 'какой-то', 'момент', 'переубеждать', 'что', 'очень', 'непростой']]","[['егор::антощенко', 'выбирать', 'пять', 'наиболее', 'интересный', 'событие'], ['но', 'самый', 'интересный', 'то', 'что', 'несмотря', 'на', 'весь', 'попытка', 'осложнить', 'обучение', 'ребята', 'чей', 'семья', 'говорить', 'на', 'русский', 'именно', 'они', 'наиболее', 'конкурентоспособный', 'при', 'устройство', 'на', 'работа'], ['известия', 'вдруг', 'становиться', 'понятный', 'что', 'происходить', 'некий', 'метаморфоза', 'группа', 'зазвучать', 'мы', 'становиться', 'интересный', 'на', 'сцена', 'вот', 'результат'], ['однако', 'город', 'мочь', 'делать', 'проект', 'более', 'интересный', 'для', 'застройщик', 'предоставлять', 'он', 'дешевый', 'земля', 'помощь', 'получение', 'техусловий', 'не', 'обременять', 'он', 'строительство', 'объект', 'социальный', 'инфраструктура', 'на', 'территория', 'микрорайон', 'сказать', 'жарков'], ['теперь', 'самый', 'интересный', 'собственно', 'история', 'колечко']]"
3,внутренний_ADJ,2008,"[['подавляющий', 'большинство', 'вопрос', 'обычно', 'касаться', 'внутренний', 'политика', 'россия', 'не', 'более', 'четверть', 'международный', 'тема'], ['внутренний', 'оснащение', 'этот', 'самолет', 'мочь', 'быть', 'любой', 'все', 'зависеть', 'от', 'пожелание', 'конкретный', 'заказчик', 'который', 'мы', 'встречаться', 'который', 'заинтересованный', 'приобретение', 'собственный', 'самолет'], ['внутренний', 'увеличиваться', 'на', '16,1', 'до', '7,964', 'миллион', 'человек'], ['подобный', 'концепция', 'японский', 'производитель', 'отчасти', 'удаваться', 'решать', 'высокий', 'эффективность', 'применять', 'теория', 'кубизм', 'свой', 'богатый', 'опыт', 'разработка', 'компактный', 'машина', 'максимально', 'возможный', 'использование', 'внутренний', 'пространство'], ['организация', 'лагерный', 'сбор', 'студент', 'как', 'живой', 'иллюстрация', 'устав', 'внутренний', 'служба', 'вооружать', 'сила']]","[['свой', 'очередь', 'федеральный', 'антимонопольный', 'служба', 'фас', 'привлечать', 'расследование', 'заключать', 'что', 'введение', 'антидемпинговый', 'мера', 'мочь', 'приводить', 'усиление', 'рыночный', 'власть', 'инициатор', 'расследование', 'возможный', 'рост', 'цена', 'на', 'внутренний', 'рынок'], ['такой', 'же', 'ситуация', 'неизменный', 'внутренний', 'спрос', 'экспорт', 'капитал', 'быть', 'япония', 'время', 'потерять', 'десятилетие'], ['не', 'ликвидировать', 'до', 'конец', 'внутренний', 'военный', 'опасность', 'что', 'свидетельствовать', 'обстановка', 'на', 'северный', 'кавказ'], ['лукойл', 'полагать', 'что', 'внутренний', 'цена', 'логично', 'сравнивать', 'не', 'одномоментный', 'котировка', 'диапазон', 'находиться', 'граница', 'плюс-минус', '20', 'от', 'они', 'ежедневный', 'значение'], ['однако', 'перевозка', 'компания', 'он', 'отказать', 'ссылаться', 'на', 'свой', 'внутренний', 'правило']]"
4,сильный_ADJ,2010,"[['30', 'январь', 'самолет', 'ту', '204', 'следовать', 'по', 'маршрут', 'москва', 'минск', 'перед', 'посадка', 'возникать', 'сильный', 'вибрация', 'один', 'из', 'двигатель'], ['не', 'нужный', 'прилагать', 'какой-то', 'сильный', 'искусственный', 'мера', 'насаждать', 'ипотека', 'весь', 'правда', 'неправда', 'убеждать', 'олег::репченко'], ['например', 'один', 'из', 'дом', 'завьяловск', 'район', 'происходить', 'сильный', 'перепад', 'напряжение', 'из-за', 'что', 'человек', 'поломаться', 'бытовой', 'техника'], ['там', '18-летний', 'выпускник', 'школа', 'покончить', 'жизнь', 'самоубийство', 'от', 'то', 'чтобы', 'не', 'выдерживать', 'сильный', 'напряжение', 'перед', 'егэ', 'по', 'русский', 'язык'], ['если', 'учитывать', 'что', 'впереди', 'не', 'самый', 'сильный', 'стартерый', 'кобаяша', 'то', 'более']]","[['магнитуд', 'самый', 'сильный', 'землетрясение', 'составлять', '8,9', 'балл'], ['такой', 'бывать', 'когда', 'организм', 'получать', 'во', 'время', 'операция', 'сильный', 'доза', 'наркоз'], ['сегодня', 'наиболее', 'сильный', 'совфед', 'считать', 'сельскохозяйственный', 'комитет', 'комитет', 'по', 'местный', 'самоуправление'], ['это', 'неправда', 'зоркий', 'этот', 'матч', 'быть', 'сильный', 'негодующе', 'вскрикивать', 'место', 'для', 'журналист', 'юноша', 'год', '20'], ['динамо', 'сильный', 'команда', 'мы', 'представлять', 'он', 'сила']]"
5,национальный_ADJ,2001,"[['1915', 'год', 'молодой', 'политика', 'становиться', 'член', 'национальный', 'совет', 'возглавить', 'движение', 'за', 'создание', 'демократический', 'государство', 'чех', 'словак'], ['вот', 'пример', 'на', 'заседание', 'национальный', 'инвестиционный', 'совет', 'обсуждать', 'проблема', 'авиационный', 'промышленность'], ['судить', 'по', 'все', 'новый', 'руководство', 'не', 'оговорка', 'тягачев', 'ведь', 'официально', 'главный', 'тренер', 'национальный', 'сборная', 'являться', 'борис::михайлов', 'который', 'заключать', 'контракт'], ['сейчас', 'как-то', 'затихнуть', 'разговор', 'национальный', 'идея', 'который', 'являться', 'тот', 'звено', 'за', 'который', 'мы', 'вытать', 'весь', 'страна', 'из', 'затягиваться', 'нищета', 'неблагополучие'], ['мы', 'валовый', 'национальный', 'продукт', 'труд', 'оценивать', 'два', 'половина', 'три', 'раз', 'низкий', 'чем', 'развитый', 'страна', 'мир']]","[['хороший', 'тон', 'считать', 'проводить', 'ребенок', '2-3-недельный', 'отпуск', 'где-то', 'национальный', 'парк', 'южный', 'африка', 'или', 'зима', 'на', 'швейцарский', 'лыжный', 'курорт'], ['зато', 'они', 'национальный', 'про', 'способный', 'обесценять', 'скромный', 'ядерный', 'потенциал', 'китай', 'который', 'этот', 'случай', 'мочь', 'испытывать', 'соблазн', 'пуститься', 'вдогонку', 'затем', 'наперегонки', 'соединять', 'штат'], ['один', 'сторона', 'человек', 'воспринимать', 'себя', 'как', 'личность', 'принадлежать', 'определенный', 'этнический', 'сообщество', 'национальный', 'группа'], ['организатор', 'премия', 'уверенный', 'что', 'они', 'национальный', 'бестселлер', 'нб', 'ошибка', 'быть', 'не', 'мочь'], ['глава', 'национальный', 'футбольный', 'союз', 'накануне', 'декабрьский', 'голосование', 'швейцария', 'вообще', 'заявлять', 'что', 'шанс', 'заполучать', 'мы', 'этот', 'праздник', 'футбол', 'процент', '80']]"
6,должен_ADJ,2002,"[['должен', 'сказать', 'что', 'именно', 'от', 'он', 'мы', 'ждать', 'коренной', 'улучшение', 'игра', 'национальный', 'сборная', 'россия'], ['что', 'обсуждать', 'за', 'этот', '45', 'минута', 'оставаться', 'тайна', 'но', 'обозреватель', 'обращать', 'внимание', 'что', 'визит', 'российский', 'первый', 'леди', 'происходить', 'тот', 'момент', 'когда', 'отношение', 'между', 'два', 'президент', 'оказываться', 'натянуть', 'из-за', 'расхождение', 'по', 'вопрос', 'то', 'какой', 'именно', 'требование', 'должен', 'быть', 'включать', 'резолюция', 'совет::безопасность::оон', 'по', 'ирак', 'вашингтон', 'пост'], ['очко', 'должен', 'защищать', 'глаз', 'от', 'волна', 'до', '400', 'нанометр'], ['непременно', 'убранство', 'дома', 'должен', 'присутствовать', 'свеча'], ['нельзя', 'просто', 'сыпать', 'реагенть', 'сначала', 'на', 'дорога', 'должен', 'быть', 'подметаний', 'витийствовать', 'николай::павлов', 'на', 'тот', 'же', 'сентябрьский', 'семинар']]","[['для', 'это', 'они', 'должен', 'быть', 'полностью', 'отключаться', 'от', 'все', 'суетный', 'мирской', 'доверяться', 'завораживать', 'ритм', 'спектакль', 'гортанно', '-клокочущий', 'звук', 'вылетать', 'из', 'грудь', 'актер', 'глухой', 'удар', 'барабан', 'одинокий', 'флейта', 'вызывать', 'сладостный', 'тоска', 'неизбывный', 'счастье'], ['за', 'москвич', 'который', 'ради', 'кусок', 'хлеб', 'стоять', 'протянутый', 'рука', 'город', 'все-таки', 'должен', 'нести', 'ответственность'], ['под', 'самовольностий', 'понимать', 'безучетный', 'пользование', 'электроэнергия', 'то', 'быть', 'без', 'электрический', 'счетчик', 'ваш', 'же', 'дом', 'должен', 'стоять', 'счетчик'], ['лепной', 'рельеф', 'фасад', 'должен', 'быть', 'представлять', 'весь', 'земной', 'жизнь', 'дело', 'спаситель', '18', 'башня', 'по', 'план', 'антонио::гауди', 'символизировать', 'апостол', 'четверо', 'евангелист', 'дева::мария', 'иисус::христос', 'высота', 'последний', 'составлять', '170', 'метр'], ['что', 'должен', 'сеятель', 'око', 'идти']]"
7,государственный_ADJ,2012,"[['правда', 'как', 'считать', 'заведующий', 'отдел', 'свод', 'памятник', 'государственный', 'институт', 'искусствознание', 'георгий::смирнов', 'руководство', 'метрополитен', 'быть', 'затруднительно', 'обеспечивать', 'сохранность', 'скульптура', 'картина'], ['среда', '14', 'март', 'министр', 'иностранный', 'дело', 'россия::сергей::лавров', 'рамка', 'правительственный', 'час', 'отвечать', 'на', 'вопрос', 'депутат', 'государственный', 'дума', 'касаться', 'внешний', 'политика', 'наш', 'страна'], ['выкупа', 'государственный', 'долговой', 'бумага', 'делать', 'для', 'то', 'что', 'проблемный', 'страна', 'не', 'быть', 'необходимость', 'рефинансировать', 'свой', 'обязательство', 'по', 'постоянно', 'расти', 'ставка'], ['особенность', 'фискальный', 'пакт', 'должен', 'включать', 'товарный', 'долг', 'точно', 'так', 'же', 'как', 'долг', 'финансовый', 'то', 'что', 'касаться', 'государственный', 'бюджет', 'следовать', 'разделять', 'инвестиция', 'текущий', 'расход'], ['лживый', 'версия', 'тиражировать', 'многочисленный', 'инструктаж', 'для', 'журналист', 'проводиться', 'представитель', 'государственный', 'департамент', 'белый', 'дом', 'писать', 'корниенко']]","[['из', 'они', '100', 'миллиард', 'чисто', 'государственный', 'финансирование', '114', 'за', 'счет', 'инвестор'], ['на', 'заседание', 'правительство', 'четверг', 'обсуждать', 'новый', 'программа', 'управление', 'государственный', 'имущество'], ['разроев', 'пытаться', 'строить', 'идеальный', 'картина', 'не', 'учитывать', 'реальность', 'который', 'не', 'быть', 'нужда', 'дополнительный', 'государственный', 'оператор', 'считать', 'бывший', 'замминистра', 'связь', 'массовый', 'коммуникация', 'ныне', 'глава', 'фонд', 'электронный', 'демократия', 'илья::массух'], ['март', '2011', 'год', 'участник', 'преступный', 'группа', 'вести', 'скрытый', 'наблюдение', 'за', 'потерпевший', 'выяснять', 'что', 'он', 'обучаться', 'на', 'курс', 'московский', 'государственный', 'университет', 'имя', 'м.::в.::ломоносов', 'работать', 'зао', 'инфовотч'], ['например', 'программа', 'развитие', 'рыбохозяйствять', 'комплекс', 'львиный', 'доля', 'государственный', 'средства', 'приходиться', 'на', 'инвестиция', 'не', 'инфраструктура', 'бизнес', 'проект', 'например', 'перерабатывающий', 'производство']]"
8,главный_ADJ,2000,"[['главный', 'кредитор', 'европейский', 'банк', 'реконструкция', 'развитие', 'рассматривать', 'вопрос', 'то', 'что', 'банкротить', 'камаз', 'через', 'суд', 'взыскивать', 'по', 'долг', 'имущество'], ['главный', 'модный', 'открытие', 'год', 'становиться', 'тот', 'факт', 'что', 'наш', 'соотечественник', 'переставать', 'стесняться', 'носить', 'одежда', 'русский', 'имя', 'на', 'ярлычка'], ['так', 'что', 'далеко', 'не', 'случайно', 'газпром', 'называть', 'главный', 'налогоплательщик', 'страна'], ['официальный', 'российский', 'статистика', 'говорить', '40', '50', 'тысяча', 'больной', 'гепатит', 'однако', 'по', 'слово', 'главный', 'инфекционист', 'минздрав::мэлс::турьянова', 'сегодня', 'страна', 'сотня', 'тысяча', 'инфицировать', 'этот', 'вирус'], ['это', 'наконец', 'едва', 'ли', 'не', 'главный', 'открытие', 'делать', 'на', 'порог', 'небытие', 'для', 'что', 'все', 'быть', 'для', 'что', 'давать', 'быть', 'мы', 'жизнь', 'для', 'что', 'мы', 'рождаться', 'этот', 'мир', 'для', 'что', 'радоваться', 'горевать', 'хитрить', 'ненавидеть', 'любить', 'отчаиваться', 'надеяться', 'верить', 'сомневаться', 'для', 'что', 'мы', 'жить']]","[['главный', 'причина', 'по', 'который', 'она', 'выбирать', 'тв-6', 'возможность', 'работать', 'коллега', 'который', 'она', 'дружеский', 'отношение'], ['например', 'вопрос', 'главный', 'редактор', 'журнал', '64', 'шахматный', 'обозрение', 'александр::рошаль', 'адресовать', 'илюмжинов', 'почему', 'новогодний', 'рейтинг-лист', 'не', 'быть', 'обсчитывать', 'матч', 'каспаров', 'крамник', 'молодой', 'россиянин', 'вместо', 'первый', 'строчка', 'рейтинг', 'оказываться', 'на', 'третий', 'пропустить', 'вперед', 'не', 'только', 'каспаров', 'но', 'ананд', 'фактически', 'оставаться', 'без', 'ответ'], ['главный', 'приз', 'вид', 'чек', 'на', '32', '000', 'доллар', 'на', 'обучение', 'любой', 'университет', 'мир', 'быть', 'вручать', 'октябрь', 'на', 'торжественный', 'церемония', 'государственный', 'кремлевский', 'дворце'], ['первый', 'главный', 'профилактический', 'рекомендация', 'часто', 'извинять', 'мыться', 'приучить', 'свой', 'ребенок', 'дружба', 'мыло', 'следить', 'за', 'соблюдение', 'простой', 'гигиенический', 'требование'], ['главный', 'роль', 'сняться', 'любимый', 'мачо', 'голливуд::антонио::бандерас', 'малоизвестный', 'наш', 'зритель', 'карл::гухино']]"
9,большой_ADJ,2011,"[['сложный', 'напряженный', 'игра', 'между', 'два', 'большой', 'команда', 'высокий', 'уровень', 'мастерство', 'интенсивность'], ['тот', 'время', 'госсекретарь', 'очень', 'беспокоить', 'большой', 'количество', 'отказ', 'регистрация', 'кандидат', 'депутат', 'орган', 'местный', 'самоуправление', 'территориальный', 'комиссия'], ['мультимедиа', 'арт::музей', 'представлять', 'экспозиция', 'приурочивать', 'открытие', 'исторический', 'сцена', 'большой', 'театр', 'после', 'реконструкция'], ['прокуратура::ялта', 'задерживать', 'бывший', 'поселковый', 'голова', 'гурзуфа', 'большой', 'ялта', 'виктор::гамаль'], ['на', 'площадь', 'размер', 'на', '10', 'метр', 'быть', 'наносить', 'большой', 'металлический', 'обозначение', 'химический', 'элемент', 'периодический', 'система', 'менделеев']]","[['хотя', 'быть', 'эпизод', 'уже', 'рассказывать', 'который', 'заставлять', 'мы', 'насторожиться', 'когда', '11', 'класс', 'она', 'украсть', 'большой', 'банк', 'клей', 'плотник', 'который', 'стелить', 'линолеум'], ['вообще', 'сложный', 'описывать', 'типичный', 'владелец', 'роскошный', 'автомобиль', 'россия', 'они', 'мочь', 'быть', 'кто', 'угодно', 'от', 'успешный', 'бизнесмен', 'до', 'предприимчивый', 'малый', 'который', 'благодарить', 'свой', 'ловкость', 'получать', 'большой', 'деньги'], ['то', 'же', 'время', 'москва', 'предлагать', 'большой', 'количество', 'другой', 'способ', 'информирование', 'тот', 'число', 'помощь', 'легальный', 'наружный', 'реклама', 'интернет'], ['хороший', 'но', 'они', 'должен', 'быть', 'намного', 'большой'], ['они', 'лазер', 'заточить', 'на', 'перехват', 'огромный', 'баллистический', 'ракета', 'на', 'разготь', 'участок', 'траектория', 'это', 'требовать', 'большой', 'мощность', 'габарит', 'лазерный', 'установка', 'который', 'размещать', 'на', 'боинг', '747']]"
