,WORD
0,abhorrent_ADJ
1,abnormal_ADJ
2,abominable_ADJ
3,abortive_ADJ
4,abrasive_ADJ
5,abrupt_ADJ
6,absent_ADJ
7,absurd_ADJ
8,abundant_ADJ
9,abusive_ADJ
10,abysmal_ADJ
11,accessible_ADJ
12,accidental_ADJ
13,accurate_ADJ
14,accursed_ADJ
15,acerbic_ADJ
16,acrid_ADJ
17,acrimonious_ADJ
18,acute_ADJ
19,adamant_ADJ
20,adequate_ADJ
21,admirable_ADJ
22,adorable_ADJ
23,adroit_ADJ
24,adulterous_ADJ
25,advance_ADJ
26,advantageous_ADJ
27,adventuresome_ADJ
28,adventurous_ADJ
29,adverse_ADJ
30,affable_ADJ
31,affectionate_ADJ
32,affirmative_ADJ
33,affluent_ADJ
34,afraid_ADJ
35,aggressive_ADJ
36,aghast_ADJ
37,agile_ADJ
38,agonizing_ADJ
39,agreeable_ADJ
40,aimless_ADJ
41,airy_ADJ
42,alarmed_ADJ
43,allergic_ADJ
44,altruistic_ADJ
45,amateurish_ADJ
46,amazing_ADJ
47,ambiguous_ADJ
48,ambitious_ADJ
49,ambivalent_ADJ
50,amenable_ADJ
51,amiable_ADJ
52,amicable_ADJ
53,amiss_ADJ
54,ample_ADJ
55,anarchic_ADJ
56,anarchistic_ADJ
57,anemic_ADJ
58,angelic_ADJ
59,angry_ADJ
60,annoyed_ADJ
61,anomalous_ADJ
62,antagonistic_ADJ
63,antique_ADJ
64,antithetical_ADJ
65,anxious_ADJ
66,apathetic_ADJ
67,apocalyptic_ADJ
68,appreciable_ADJ
69,appreciative_ADJ
70,apprehensive_ADJ
71,apt_ADJ
72,arbitrary_ADJ
73,arcane_ADJ
74,arch_ADJ
75,archaic_ADJ
76,ardent_ADJ
77,arduous_ADJ
78,argumentative_ADJ
79,arrogant_ADJ
80,articulate_ADJ
81,ashamed_ADJ
82,assorted_ADJ
83,astonished_ADJ
84,astounded_ADJ
85,astute_ADJ
86,atrocious_ADJ
87,attentive_ADJ
